ho,dl,err,gt,got
fork,P(Y=1 | X=1),1.1102230246251565e-16,0.7465023636811997,0.7465023636811998
fork,P(Y=1 | X=0),1.1102230246251565e-16,0.36908066391343114,0.36908066391343103
fork,P(V2=1),1.1102230246251565e-16,0.6837735446936019,0.6837735446936017
fork,P(X=1),1.1102230246251565e-16,0.6779756236335234,0.6779756236335235
fork,P(Y=1),1.1102230246251565e-16,0.6249633761863085,0.6249633761863086
fork,ATE(Y | X),2.220446049250313e-16,0.37742169976776857,0.3774216997677688
fork,ETT(Y | X),2.7755575615628914e-16,0.37742169976776857,0.37742169976776885
fork,NDE(Y | X),2.220446049250313e-16,0.37742169976776857,0.3774216997677688
fork,NIE(Y | X),0.0,0.0,0.0
fork,P(Y=1 | X=1),2.220446049250313e-16,0.7419944518525446,0.7419944518525449
fork,P(Y=1 | X=0),1.1102230246251565e-16,0.3818339705422906,0.3818339705422905
fork,P(V2=1),3.3306690738754696e-16,0.7928087822968343,0.7928087822968346
fork,P(X=1),2.220446049250313e-16,0.38467513986594526,0.38467513986594504
fork,P(Y=1),0.0,0.5203787540644987,0.5203787540644987
fork,ATE(Y | X),3.3306690738754696e-16,0.360160481310254,0.36016048131025435
fork,ETT(Y | X),2.220446049250313e-16,0.36016048131025413,0.36016048131025435
fork,NDE(Y | X),4.440892098500626e-16,0.360160481310254,0.36016048131025447
fork,NIE(Y | X),5.551115123125783e-17,0.0,5.551115123125783e-17
fork,P(Y=1 | X=1),0.0,0.7468514123540964,0.7468514123540964
fork,P(Y=1 | X=0),5.551115123125783e-17,0.4377807011696247,0.43778070116962475
fork,P(V2=1),1.1102230246251565e-16,0.6349618329706712,0.6349618329706713
fork,P(X=1),0.0,0.4589134136424244,0.4589134136424244
fork,P(Y=1),0.0,0.5796173962961825,0.5796173962961825
fork,ATE(Y | X),5.551115123125783e-17,0.30907071118447166,0.3090707111844716
fork,ETT(Y | X),1.6653345369377348e-16,0.30907071118447166,0.3090707111844715
fork,NDE(Y | X),5.551115123125783e-17,0.30907071118447166,0.3090707111844717
